Started At,Duration,Preset,Activity
8/24/2017 17:40,0:20:00,,Meditation
8/22/2017 15:37,0:10:00,,Meditation
8/20/2017 15:22,0:30:00,,Meditation
8/18/2017 7:23,0:20:00,,Meditation
8/17/2017 16:18,0:15:00,,Meditation
8/17/2017 16:10,0:07:33,,Meditation
8/15/2017 7:24,0:14:49,,Meditation
8/13/2017 8:14,0:30:00,,Meditation
8/10/2017 11:38,0:10:00,,Meditation
8/9/2017 4:37,0:22:21,,Guided Meditation
8/8/2017 17:34,0:30:00,,Meditation
8/6/2017 10:01,0:38:24,,Meditation
8/5/2017 10:41,1:45:00,,Meditation
8/4/2017 17:15,0:20:00,,Meditation
8/4/2017 12:20,0:10:00,,Meditation
8/1/2017 18:08,0:10:01,,Meditation
8/1/2017 11:54,0:07:52,,Guided Meditation
7/31/2017 10:47,0:05:00,,Meditation
7/29/2017 11:05,0:12:59,,Meditation
7/28/2017 16:46,0:25:00,,Meditation
7/26/2017 9:43,0:20:00,,Meditation
7/25/2017 8:26,0:20:00,,Meditation
7/24/2017 18:34,0:20:00,,Meditation
7/23/2017 23:39,0:22:21,,Guided Meditation
7/22/2017 18:37,0:28:57,,Guided Meditation
7/21/2017 10:51,0:10:00,,Meditation
7/19/2017 15:08,0:08:00,,Meditation
7/18/2017 17:01,0:28:57,,Guided Meditation
7/18/2017 11:41,0:08:00,,Meditation
7/17/2017 15:18,0:08:00,,Healing
7/16/2017 19:49,0:08:00,,Healing
7/15/2017 10:47,0:10:00,,Healing
7/15/2017 1:14,0:22:21,,Guided Meditation
7/14/2017 4:53,0:22:21,,Guided Meditation
7/13/2017 17:59,0:15:00,,Meditation
7/12/2017 15:11,0:05:00,,Meditation
7/12/2017 5:17,0:22:21,,Guided Meditation
7/11/2017 12:29,0:10:00,,Meditation
7/10/2017 11:56,0:10:00,,Meditation
7/10/2017 11:37,0:02:26,,Guided Meditation
7/9/2017 8:31,0:30:03,,Meditation
7/6/2017 14:27,0:03:00,,Meditation
7/5/2017 12:55,0:15:02,,Meditation
7/4/2017 10:24,0:38:54,,Guided Meditation
7/3/2017 16:16,0:20:05,,Guided Meditation
7/3/2017 14:17,0:05:00,,Meditation
7/3/2017 10:36,0:05:00,,Meditation
7/2/2017 10:59,0:03:52,,Guided Meditation
7/2/2017 8:10,0:27:15,,Guided Meditation
6/30/2017 12:33,0:20:00,,Meditation
6/29/2017 16:31,0:05:00,,Meditation
6/28/2017 18:07,0:15:00,,Meditation
6/28/2017 13:47,0:10:00,,Meditation
6/27/2017 17:00,0:28:57,,Guided Meditation
6/27/2017 12:32,0:11:11,,Guided Meditation
6/26/2017 12:15,0:00:12,,Guided Meditation
6/25/2017 8:54,0:27:15,,Guided Meditation
6/24/2017 10:51,0:19:15,,Guided Meditation
6/23/2017 18:28,0:15:00,,Meditation
6/20/2017 17:53,0:16:57,,Guided Meditation
